postgis_fi,lat_y_dd,long_x_dd,lastsurvey,recentspec,recentstat,Nest_ID
231,40.182995,-104.976268,2011-04-06,Red-tail Hawk,FLEDGED NEST,"231"
232,40.311822,-104.598844,2011-04-06,Red-tail Hawk,ACTIVE NEST,"232"
233,40.344244,-104.877918,2011-04-06,Swainsons Hawk,FLEDGED NEST,"233"
234,40.190365,-104.852526,2014-05-12,Red-tail Hawk,FLEDGED NEST,"234"
235,40.191627,-104.854105,2011-04-06,Red-tail Hawk,ACTIVE NEST,"235"
236,40.352189,-104.834265,2011-04-06,Swainsons Hawk,ACTIVE NEST,"236"
237,40.284446,-104.859843,2011-04-06,Swainsons Hawk,INACTIVE NEST,"237"
238,40.130103,-104.655518,2015-07-28,Red-tail Hawk,ACTIVE NEST,"238"
239,40.141795,-104.714559,2011-04-06,Swainsons Hawk,INACTIVE NEST,"239"
240,40.140795,-104.714801,2011-04-06,Swainsons Hawk,FLEDGED NEST,"240"
241,40.354755,-104.815219,2011-04-06,Swainsons Hawk,FLEDGED NEST,"241"
242,40.219212,-104.938508,2014-03-24,Swainsons Hawk,FLEDGED NEST,"242"
243,40.2342,-104.753392,2011-04-06,Swainsons Hawk,ACTIVE NEST,"243"
244,40.233822,-104.854233,2011-04-06,Swainsons Hawk,INACTIVE NEST,"244"
246,40.280609,-104.855574,2011-04-06,Red-tail Hawk,ACTIVE NEST,"246"
247,40.282149,-104.85632,2011-04-06,Red-tail Hawk,FLEDGED NEST,"247"
248,40.083363,-104.973908,2011-04-06,Red-tail Hawk,INACTIVE NEST,"248"
249,40.35496,-104.815277,2011-04-06,Red-tail Hawk,INACTIVE NEST,"249"
250,40.26248,-104.632276,2011-04-06,Swainsons Hawk,ACTIVE NEST,"250"
251,40.094522,-104.794962,2011-04-06,Red-tail Hawk,INACTIVE NEST,"251"
252,40.135756,-104.602597,2011-04-06,Swainsons Hawk,INACTIVE NEST,"252"
253,40.157458,-104.618074,2011-04-06,Swainsons Hawk,INACTIVE NEST,"253"
254,40.156475,-104.870785,2015-08-10,Swainsons Hawk,FLEDGED NEST,"254"
255,40.166938,-104.650126,2011-04-06,Red-tail Hawk,INACTIVE NEST,"255"
256,40.074878,-104.775723,2011-04-06,Red-tail Hawk,INACTIVE NEST,"256"
257,40.040354,-104.976636,2011-04-06,Red-tail Hawk,INACTIVE NEST,"257"
258,40.082473,-104.972632,2011-04-06,Swainsons Hawk,FLEDGED NEST,"258"
259,40.369841,-104.630526,2011-04-06,Red-tail Hawk,INACTIVE NEST,"259"
260,40.356707,-104.815209,2011-04-06,Swainsons Hawk,ACTIVE NEST,"260"
261,40.184555,-104.842425,2011-04-06,Red-tail Hawk,INACTIVE NEST,"261"
262,40.221135,-104.752757,2014-06-26,Swainsons Hawk,ACTIVE NEST,"262"
263,40.217543,-104.967378,2011-04-06,Swainsons Hawk,INACTIVE NEST,"263"
264,40.238115,-104.633649,2011-04-06,Red-tail Hawk,ACTIVE NEST,"264"
265,40.139405,-104.67469,2015-03-03,Red-tail Hawk,ACTIVE NEST,"265"
266,40.14141,-104.659302,2011-04-06,Red-tail Hawk,INACTIVE NEST,"266"
267,40.152424,-104.655317,2011-04-06,Red-tail Hawk,INACTIVE NEST,"267"
268,40.132348,-104.876502,2015-03-17,Swainsons Hawk,FLEDGED NEST,"268"
269,40.13096,-104.867264,2011-04-06,Red-tail Hawk,INACTIVE NEST,"269"
